order_id,customer_id,order_date,status,category,quantity,unit_price,discount
1001,101,2024-06-01,Completed,Electronics,2,1200,100
1002,102,2024-06-03,Completed,Furniture,1,800,50
1003,103,2024-06-04,Completed,Electronics,1,1500,150
1004,104,2024-06-05,Cancelled,Clothing,3,120,20
1005,105,2024-06-07,Completed,Electronics,2,900,0
1006,106,2024-06-08,Completed,Grocery,5,80,10
1007,107,2024-06-10,Completed,Furniture,2,650,75
1008,108,2024-06-12,Completed,Clothing,4,250,25
1009,109,2024-06-14,Returned,Electronics,1,1100,100
1010,110,2024-06-15,Completed,Electronics,3,700,50
1011,101,2024-06-18,Completed,Grocery,8,40,0
1012,102,2024-06-20,Completed,Clothing,2,300,30
1013,103,2024-06-22,Completed,Furniture,1,950,100
1014,104,2024-06-24,Completed,Electronics,2,1300,200
1015,105,2024-06-25,Completed,Grocery,6,60,5
1016,106,2024-06-27,Cancelled,Furniture,1,500,50
1017,107,2024-06-28,Completed,Electronics,1,2000,250
1018,108,2024-06-29,Completed,Grocery,10,35,0
1019,110,2024-06-30,Completed,Clothing,3,450,45
1020,112,2024-07-01,Completed,Electronics,2,1750,200
